date,market_cap,metcalfe_market_cap
1/13/15,3167787711.0,3092069079.0
1/14/15,2422228638.0,4060557816.0
1/15/15,2994028687.0,3496415167.0
1/16/15,2819635181.0,3746670550.0
1/17/15,2707305216.0,5010507315.0
1/18/15,2901196120.0,3867558889.0
1/19/15,2918642141.0,3024790782.0
1/20/15,2927526251.0,2942707519.0
1/21/15,2958639540.0,3012554524.0
1/22/15,3216610343.0,2759215758.0
1/23/15,3205368430.0,2510051490.0
1/24/15,3365806048.0,2315584162.0
1/25/15,3400567199.0,5083842415.0
1/26/15,3736655602.0,4350159196.0
1/27/15,3662740945.0,3229067155.0
1/28/15,3432695925.0,2132349250.0
1/29/15,3212507057.0,2282613790.0
1/30/15,3170875531.0,2181322891.0
1/31/15,3166115890.0,4433622257.0
2/1/15,3043276324.0,3376439441.0
2/2/15,3075532375.0,2668347236.0
2/3/15,3262655450.0,3335605155.0
2/4/15,3071111004.0,3067689632.0
2/5/15,3000292899.0,2556654757.0
2/6/15,3044045825.0,2688662169.0
2/7/15,3109769195.0,2523542724.0
2/8/15,3087557513.0,4897801203.0
2/9/15,3045448196.0,3027149108.0
2/10/15,3043095552.0,2786834717.0
2/11/15,3069222641.0,2773887699.0
2/12/15,3067764711.0,3170581241.0
2/13/15,3319054029.0,5087058522.0
2/14/15,3394323806.0,4600661432.0
2/15/15,3376876498.0,6767639996.0
2/16/15,3265287116.0,3874036616.0
2/17/15,3378924200.0,3965960096.0
2/18/15,3253436855.0,3862539783.0
2/19/15,3347513318.0,2547738204.0
2/20/15,3375820757.0,2937243261.0
2/21/15,3405774967.0,4778483848.0
2/22/15,3272741800.0,3859495294.0
2/23/15,3288669463.0,3599687240.0
2/24/15,3331249443.0,3003149506.0
2/25/15,3311229562.0,2934739249.0
2/26/15,3296957188.0,2775412764.0
2/27/15,3527012250.0,3097985327.0
2/28/15,3513702465.0,4420730166.0
3/1/15,3439351080.0,4080557165.0
3/2/15,3666101618.0,3545741158.0
3/3/15,3833785480.0,3626427419.0
3/4/15,3916209466.0,3465700414.0
3/5/15,3694216021.0,2964797228.0
3/6/15,3785549759.0,3081736978.0
3/7/15,3838133076.0,3827325063.0
3/8/15,3811928063.0,3529249746.0
3/9/15,4002310934.0,3152861448.0
3/10/15,4095028100.0,3420094002.0
3/11/15,4085522368.0,3358733443.0
3/12/15,4143624087.0,2914505128.0
3/13/15,4034835730.0,3047431766.0
3/14/15,3961922926.0,3732710649.0
3/15/15,3954043366.0,3841529635.0
3/16/15,4056925176.0,3303526200.0
3/17/15,4004115563.0,3095196862.0
3/18/15,3709717424.0,2833320145.0
3/19/15,3637668805.0,2822868076.0
3/20/15,3627139245.0,3052105434.0
3/21/15,3600557276.0,3686455970.0
3/22/15,3638709588.0,3554233631.0
3/23/15,3717523388.0,3788295347.0
3/24/15,3463709255.0,2664925790.0
3/25/15,3434680104.0,2589500933.0
3/26/15,3523694620.0,2742278867.0
3/27/15,3477917245.0,3171396418.0
3/28/15,3519286704.0,3360443851.0
3/29/15,3415687193.0,4053500527.0
3/30/15,3432372892.0,3184673429.0
3/31/15,3401639125.0,3199647153.0
4/1/15,3399420023.0,4502809185.0
4/2/15,3536772754.0,3578572843.0
4/3/15,3565053259.0,2962342104.0
4/4/15,3557341516.0,4047724505.0
4/5/15,3604010403.0,3820198231.0
4/6/15,3572161133.0,2796778234.0
4/7/15,3584116146.0,3765233176.0
4/8/15,3450310038.0,3570051325.0
4/9/15,3438416790.0,3208345482.0
4/10/15,3309144476.0,3586871096.0
4/11/15,3323853833.0,4597904990.0
4/12/15,3325501365.0,2901144567.0
4/13/15,3175023906.0,4179850876.0
4/14/15,3035523600.0,3734309608.0
4/15/15,3077794818.0,2810752522.0
4/16/15,3228428498.0,2985204880.0
4/17/15,3131458311.0,2853270952.0
4/18/15,3127275396.0,3926995556.0
4/19/15,3175869114.0,2209759373.0
4/20/15,3161465083.0,4966503018.0
4/21/15,3165877506.0,3266031489.0
4/22/15,3342138811.0,3822435410.0
4/23/15,3316759348.0,3510124324.0
4/24/15,3253364933.0,3263454632.0
4/25/15,3221419770.0,4544263178.0
4/26/15,3078777334.0,3967608251.0
4/27/15,3138324234.0,3194578581.0
4/28/15,3140185113.0,3700092110.0
4/29/15,3183645205.0,3344615039.0
4/30/15,3317590248.0,3585003984.0
5/1/15,3294461783.0,3009896422.0
5/2/15,3305201504.0,4404308888.0
5/3/15,3396097404.0,3487202952.0
5/4/15,3335594229.0,2803672581.0
5/5/15,3315170883.0,3719286118.0
5/6/15,3331977964.0,3734173513.0
5/7/15,3307483749.0,4004905576.0
5/8/15,3460059372.0,5306638817.0
5/9/15,3409353360.0,3076824478.0
5/10/15,3385659604.0,3546172172.0
5/11/15,3455032101.0,3603396165.0
5/12/15,3418066879.0,4226306843.0
5/13/15,3436174904.0,3460949300.0
5/14/15,3374718444.0,3154143369.0
5/15/15,3365503020.0,3417717450.0
5/16/15,3352520598.0,4319403488.0
5/17/15,3341497738.0,3629646915.0
5/18/15,3351802886.0,3032665664.0
5/19/15,3290077757.0,3324841440.0
5/20/15,3327208635.0,3802015389.0
5/21/15,3347966800.0,3198702394.0
5/22/15,3412658925.0,3342361429.0
5/23/15,3388826795.0,2940382324.0
5/24/15,3413660333.0,4696932227.0
5/25/15,3346224109.0,3302342253.0
5/26/15,3351138399.0,3830598056.0
5/27/15,3338639125.0,3804144215.0
5/28/15,3360445832.0,3755195472.0
5/29/15,3352703354.0,4356147039.0
5/30/15,3285902376.0,5638999669.0
5/31/15,3298555151.0,4390168234.0
6/1/15,3163506560.0,4928358786.0
6/2/15,3198892482.0,5129757986.0
6/3/15,3220468764.0,4452921282.0
6/4/15,3210595731.0,4472262220.0
6/5/15,3191604605.0,4197111020.0
6/6/15,3197349335.0,4638124868.0
6/7/15,3171359940.0,3930031643.0
6/8/15,3249096900.0,2766971519.0
